filename,dprove,pdr,iimc,IC3
a689test0069.aig,0.07,0.04,0.04,0.0
a690test0028.aig,0.11,0.03,0.05,0.0
a691test0106.aig,0.03,0.04,0.04,0.0
a692test0034.aig,0.06,0.04,0.04,0.0
a693test0031.aig,0.06,0.04,0.04,0.0
a694test0081.aig,0.06,0.03,0.04,0.0
a695test0015.aig,0.08,0.03,0.04,0.0
a696test0053.aig,0.04,0.04,0.02,0.0
a697test0077.aig,0.03,0.03,0.03,0.0
a698test0027.aig,0.03,0.04,0.03,0.0
a699test0039.aig,0.03,0.04,0.03,0.0
a700test0050.aig,0.05,0.04,0.03,0.0
a77test0001.aig,0.03,0.03,0.03,0.0
a78test0002.aig,0.04,0.03,0.03,0.0
a79test0003.aig,0.03,0.03,0.02,0.0
a8test0001.aig,0.07,0.04,0.03,0.0
a94test0001.aig,0.03,0.04,0.03,0.0
a95test0002.aig,0.05,0.04,0.03,0.0
a97test0001.aig,0.03,0.05,0.02,0.0
a9test0002.aig,0.06,0.04,0.02,0.0
abp4p2ff.aig,failed,0.86,0.67,1.53
b187test0001.aig,0.11,0.07,0.03,0.0
b188test0002.aig,0.69,0.06,0.03,0.0
b265test0001.aig,0.03,0.04,0.02,0.0
b26test0001.aig,0.05,0.06,0.02,0.0
bb.aig,0.03,0.06,0.02,0.0
bbb.aig,0.05,0.07,0.02,0.0
bc57sensorsp2.aig,failed,669.95,36.05,74.4
beemadd1b1.aig,0.08,0.53,0.16,0.26
beemadd1f1.aig,0.1,0.16,0.12,0.03
beemadd2b1.aig,failed,1.82,0.8,54.68
beemadd2f1.aig,failed,2.54,2.71,7.9
beemadd3b1.aig,failed,149.73,4.84,1374.14
beemadd3f1.aig,failed,1.66,8.89,4.65
beemadd4b1.aig,failed,160.95,2.76,366.15
beemadd4f1.aig,failed,10.69,3.49,6.1
beemadd5b1.aig,failed,363.11,4.14,263.83
beemadd5f1.aig,failed,1.46,8.09,42.79
beemadd6b1.aig,failed,901.51,5.21,timeout
beemadd6f1.aig,failed,6.89,3.89,6.31
beemandrsn1b1.aig,0.05,0.07,0.07,0.01
beemandrsn1f1.aig,0.07,0.1,0.1,0.08
beemandrsn2b1.aig,37.44,15.33,62.29,107.98
beemandrsn2f1.aig,failed,timeout,2.79,69.69
beemandrsn3b1.aig,0.1,0.13,0.85,0.13
beemandrsn3f1.aig,failed,4.62,0.46,3.23
beemandrsn4b1.aig,failed,168.06,timeout,timeout
beemandrsn4f1.aig,failed,161.71,8.81,213.89
beemandrsn5b1.aig,0.09,0.53,2.21,0.25
beemandrsn5f1.aig,failed,41.76,3.95,103.69
beemandrsn7b1.aig,0.12,0.59,1.29,0.52
beemandrsn7f1.aig,failed,103.91,19.73,983.84
beemat1b1.aig,failed,1390.86,7.85,timeout
beemat1f1.aig,36.01,65.17,6.79,32.08
beemat2b1.aig,0.16,0.32,0.31,8.37
beemat2f1.aig,0.29,0.46,0.31,2.07
beemat3b1.aig,failed,5.21,0.86,9.66
beemat3f1.aig,failed,1.49,0.96,4.89
beemat4b1.aig,failed,timeout,121.75,timeout
beemat4f1.aig,failed,94.24,102.8,340.0
beemat5b1.aig,failed,timeout,277.84,timeout
beemat5f1.aig,failed,timeout,286.09,435.28
beemat6b1.aig,failed,35.31,5.23,151.05
beemat6f1.aig,failed,10.35,3.6,22.52
beemat7b1.aig,failed,timeout,1268.03,timeout
beemat7f1.aig,failed,timeout,206.41,1296.32
beembkry1b1.aig,30.41,5.54,2.99,24.27
beembkry1f1.aig,30.81,1.28,0.54,1.29
beembkry2b1.aig,0.66,0.73,0.17,0.06
beembkry2f1.aig,0.2,0.25,0.17,0.3
beembkry3b1.aig,failed,280.53,7.97,timeout
beembkry3f1.aig,31.47,6.15,5.32,21.29
beembkry4b1.aig,0.17,0.17,0.46,3.01
beembkry4f1.aig,failed,0.43,1.01,5.12
beembkry5b1.aig,failed,timeout,743.24,timeout
beembkry5f1.aig,failed,52.93,210.8,183.59
beembkry6b1.aig,failed,0.44,1.39,61.53
beembkry6f1.aig,failed,1.71,2.09,16.25
beembkry7f1.aig,failed,268.25,2232.43,526.71
beembkry8f1.aig,failed,231.96,879.45,603.61
beemblks2b1.aig,failed,1699.77,2347.33,timeout
beemblks2f1.aig,failed,timeout,24.93,timeout
beemblks3b1.aig,failed,86.72,21.45,31.03
beemblks3f1.aig,failed,timeout,12.43,timeout
beemblks4b1.aig,failed,186.71,timeout,timeout
beemblks4f1.aig,failed,timeout,2040.04,timeout
beembrdg1b1.aig,failed,2.08,9.52,22.48
beembrdg1f1.aig,0.49,16.75,0.43,14.61
beembrdg2b1.aig,failed,27.59,88.39,262.32
beembrdg2f1.aig,failed,timeout,83.44,timeout
beembrp1b1.aig,failed,60.0,44.91,821.57
beembrp1f1.aig,failed,66.35,22.04,53.38
beembrp2b1.aig,0.12,0.33,0.22,1.72
beembrp2f1.aig,failed,2.91,0.27,3.48
beembrp3b1.aig,0.21,0.58,0.17,1.87
beembrp3f1.aig,failed,3.95,0.35,2.48
beembrp4b1.aig,0.19,1.06,0.23,4.09
beembrp4f1.aig,failed,14.69,0.39,3.12
beembrp5b1.aig,0.16,0.58,0.2,3.95
beembrp5f1.aig,failed,9.99,0.36,3.88
beembrp6b1.aig,0.18,0.98,0.26,5.28
beembrp6f1.aig,failed,4.05,0.37,3.88
beembrptwo1b1.aig,failed,2.1,1.42,23.27
beembrptwo1b2.aig,failed,820.94,41.86,timeout
beembrptwo1b3.aig,failed,timeout,48.18,timeout
beembrptwo1f1.aig,failed,114.37,5.47,153.52
beembrptwo1f2.aig,36.43,10.46,7.46,60.6
beembrptwo1f3.aig,44.89,75.36,22.33,71.76
beembrptwo2b1.aig,failed,28.4,194.12,1252.24
beembrptwo2b2.aig,failed,timeout,20.77,timeout
beembrptwo2b3.aig,failed,787.38,62.34,1537.61
beembrptwo2f1.aig,failed,375.22,48.97,204.1
beembrptwo2f2.aig,24.65,4.92,4.96,46.2
beembrptwo2f3.aig,failed,36.82,20.51,209.58
beembrptwo3b1.aig,failed,1.8,1.76,9.37
beembrptwo3b2.aig,failed,2142.32,46.39,timeout
beembrptwo3b3.aig,failed,timeout,404.54,timeout
beembrptwo3f1.aig,failed,32.19,2.37,42.99
beembrptwo3f2.aig,26.16,17.85,8.41,88.54
beembrptwo3f3.aig,64.6,75.43,14.83,933.47
beembrptwo4b1.aig,failed,71.61,7.31,116.47
beembrptwo4b2.aig,failed,timeout,1511.16,timeout
beembrptwo4b3.aig,failed,timeout,419.03,timeout
beembrptwo4f1.aig,failed,898.47,3.47,1730.05
beembrptwo4f2.aig,31.06,214.19,87.11,1803.07
beembrptwo4f3.aig,failed,398.04,1357.48,172.83
beembrptwo5b1.aig,failed,2.23,4.31,40.88
beembrptwo5b2.aig,failed,timeout,92.89,timeout
beembrptwo5b3.aig,failed,timeout,306.03,timeout
beembrptwo5f1.aig,failed,859.83,11.74,853.07
beembrptwo5f2.aig,69.05,490.16,19.66,345.2
beembrptwo5f3.aig,failed,684.97,45.88,89.53
beembrptwo6b1.aig,failed,19.83,70.32,74.92
beembrptwo6b2.aig,failed,timeout,2173.34,timeout
beembrptwo6b3.aig,failed,timeout,2314.53,timeout
beembrptwo6f1.aig,failed,2444.87,7.48,timeout
beembrptwo6f3.aig,failed,2202.93,2662.48,1220.17
beemcmbrdg1b1.aig,failed,timeout,1174.93,timeout
beemcmbrdg1b2.aig,failed,timeout,3058.57,timeout
beemcmbrdg1f1.aig,failed,timeout,44.47,2153.04
beemcmbrdg1f2.aig,failed,timeout,22.43,timeout
beemcmbrdg2b1.aig,failed,4.29,2.84,43.04
beemcmbrdg2b2.aig,failed,timeout,515.83,timeout
beemcmbrdg2f1.aig,0.34,13.3,0.91,2.39
beemcmbrdg2f2.aig,failed,timeout,65.93,timeout
beemcmbrdg3b1.aig,failed,timeout,2061.43,timeout
beemcmbrdg3f1.aig,failed,timeout,33.72,timeout
beemcmbrdg3f2.aig,failed,timeout,31.52,timeout
beemcmbrdg4f1.aig,failed,timeout,173.09,timeout
beemcmbrdg4f2.aig,failed,timeout,150.58,timeout
beemcmbrdg5f1.aig,failed,timeout,604.26,timeout
beemcmbrdg5f2.aig,failed,timeout,609.33,timeout
beemcmbrdg6b1.aig,failed,2.42,3.6,30.16
beemcmbrdg6f1.aig,failed,230.0,1.72,2815.48
beemcmbrdg7b1.aig,failed,28.84,3.65,413.12
beemcmbrdg7f1.aig,0.53,57.55,1.58,276.57
beemcoll1b1.aig,129.06,21.81,6.97,479.82
beemcoll1f1.aig,40.57,2.23,2.06,5.23
beemcoll2b1.aig,0.39,0.45,2.99,1.32
beemcoll2f1.aig,0.82,2.7,1.36,2.85
beemcoll3b1.aig,failed,180.62,13.9,timeout
beemcoll3f1.aig,270.22,20.02,6.18,51.09
beemcoll4b1.aig,failed,1148.84,36.14,timeout
beemcoll4f1.aig,80.89,73.45,13.22,122.37
beemcoll5b1.aig,0.58,4.75,11.01,9.34
beemcoll5f1.aig,1.59,5.0,2.2,36.9
beemcoll6b1.aig,failed,timeout,87.75,timeout
beemcoll6f1.aig,138.47,112.71,38.53,451.8
beemcycschd1b1.aig,0.87,0.13,0.14,0.05
beemcycschd1f1.aig,0.31,0.05,0.09,0.01
beemcycschd2b1.aig,0.16,0.08,0.07,0.1
beemcycschd2f1.aig,0.07,0.12,0.05,0.15
beemcycschd3b1.aig,1.71,0.25,0.16,0.61
beemcycschd3f1.aig,0.53,0.07,0.13,0.04
beemcycschd4b1.aig,0.14,0.26,0.13,0.35
beemcycschd4f1.aig,failed,0.25,0.1,1.28
beemdrvphls1b1.aig,0.09,0.07,0.47,0.07
beemdrvphls1f1.aig,0.07,0.05,0.07,0.0
beemdrvphls2b1.aig,0.1,0.07,0.34,0.06
beemdrvphls2f1.aig,0.05,0.06,0.06,0.0
beemdrvphls3b1.aig,0.07,0.09,0.94,0.1
beemdrvphls3f1.aig,0.58,0.05,0.13,0.01
beemdrvphls4b1.aig,0.09,0.1,0.76,0.13
beemdrvphls4f1.aig,0.06,0.07,0.11,0.0
beemdrvphls5b1.aig,0.06,0.09,0.69,0.06
beemdrvphls5f1.aig,0.05,0.05,0.14,0.0
beemelev1b1.aig,1.48,0.11,0.27,0.13
beemelev1f1.aig,1.35,0.09,0.16,0.04
beemelev2b1.aig,1.11,0.08,0.2,0.05
beemelev2f1.aig,0.53,0.09,0.11,0.08
beemelev3b1.aig,2.68,0.15,0.53,4.82
beemelev3f1.aig,0.95,1.46,0.33,0.6
beemelev4b1.aig,2.8,0.44,0.3,1.21
beemelev4f1.aig,0.63,0.27,0.2,0.42
beemelev5b1.aig,5.27,0.57,0.74,0.48
beemelev5f1.aig,2.58,0.86,0.57,0.21
beemelpln1b1.aig,0.22,0.26,0.27,21.11
beemelpln1f1.aig,failed,9.63,0.33,53.22
beemelpln2b1.aig,0.34,0.18,0.3,67.89
beemelpln2f1.aig,failed,1555.1,1.22,90.84
beemelpln3b1.aig,0.15,0.16,0.17,1.57
