filename,dprove,pdr,iimc,IC3
eijk.S1196.S.aig,0.09,0.08,0.51,0.07
ext_con_016_008_0128.aig,27.28,696.27,timeout,timeout
lfsr_008_047_032.aig,184.04,36.71,639.1,114.92
umulov2bw0640.aig,0.08,0.05,0.04,0.0
bin_eventlogadm_vc344892.aig,1.94,2.55,27.75,3.54
minand032.aig,1.07,0.41,1.57,0.47
bin_libsmbclient_vc1228451.aig,3.07,4.45,107.04,3.26
bin_libmsrpc_vc1225856.aig,2.03,2.01,101.12,6.98
bin_libsmbsharemodes_vc5792.aig,0.59,0.78,56.63,0.74
lfsr_008_031_048.aig,256.74,106.2,2224.96,458.92
bin_eventlogadm_vc331014.aig,0.36,0.48,17.07,0.64
beemmsmie1f1.aig,94.23,2.55,2.68,5.36
VS3-benchmark-A6.aig,1108.76,1101.67,timeout,timeout
bin_libsmbsharemodes_vc4780.aig,0.49,0.35,38.67,0.68
bitops0.aig,0.07,0.1,0.11,0.0
convert-jpg2gif-query-1368.aig,0.03,0.06,0.08,0.0
convert-jpg2gif-query-1610.aig,0.55,0.63,55.08,0.39
a123test0003.aig,0.03,0.03,0.04,0.0
bin_libsmbsharemodes_vc5678.aig,0.42,1.09,58.71,0.97
bin_libmsrpc_vc1225848.aig,3.5,6.12,96.81,4.01
bin_libsmbsharemodes_vc6213.aig,2.68,1.17,128.25,3.1
beemresist2b3.aig,0.6,0.08,0.47,0.03
beemcmbrdg7b1.aig,failed,28.84,3.65,413.12
umulov1bw112.aig,225.81,225.47,14.77,33.98
problem_9.aig,0.9,0.58,0.77,0.38
mplayer-mp3-query-15803-snippet3.mp3.aig,0.05,0.04,0.67,0.0
a692test0034.aig,0.06,0.04,0.04,0.0
bin_libsmbclient_vc1228431.aig,1.73,4.32,141.2,4.23
bin_libsmbsharemodes_vc6245.aig,186.61,2.22,94.41,7.41
bin_eventlogadm_vc331077.aig,1.09,0.85,19.76,1.36
bin_libsmbsharemodes_vc6182.aig,0.98,0.94,65.51,0.81
cmu.dme1.B.aig,failed,timeout,2.18,349.16
ext_con_016_064_1024.aig,timeout,4.37,timeout,timeout
bin_libsmbsharemodes_vc6232.aig,1.65,1.97,100.93,5.86
bin_libsmbsharemodes_vc7082.aig,0.87,0.97,41.06,1.39
countbitssrl016.aig,9.18,2.58,0.17,4.26
convert-jpg2gif-query-1209.aig,0.07,0.05,0.1,0.0
dme6p1.aig,0.06,0.08,0.9,0.06
a644test0002.aig,0.04,0.04,0.03,0.0
bin_libmsrpc_vc1225628.aig,0.84,0.3,68.76,0.18
bin_libsmbclient_vc1225676.aig,1.69,1.01,42.7,1.6
VS3-benchmark-S1.aig,2121.35,1941.15,timeout,timeout
beemgear2f1.aig,failed,timeout,47.19,3037.0
beemtrngt3f1.aig,failed,558.67,8.91,123.04
beemelpln3b1.aig,0.15,0.16,0.17,1.57
convert-jpg2gif-query-1675.aig,0.68,0.07,0.1,0.0
lfsr_002_063_032.aig,0.63,0.53,35.05,2.27
smulov2bw112.aig,155.95,279.59,35.13,5.94
lfsr_004_031_096.aig,95.39,218.24,2879.51,555.87
bin_libmsrpc_vc1225893.aig,222.08,3.25,92.28,2.08
bin_libsmbsharemodes_vc6263.aig,3.19,2.29,55.62,6.39
ext_con_024_032_0256.aig,timeout,0.96,timeout,timeout
bin_libsmbsharemodes_vc6310.aig,22.7,1.63,129.59,1.02
lfsr_008_079_064.aig,900.45,230.55,1473.77,453.59
bin_libsmbclient_vc1225173.aig,1.04,0.97,109.43,0.81
beemsnpse5f1.aig,failed,718.15,14.03,timeout
bin_libsmbsharemodes_vc7271.aig,0.34,0.24,50.78,0.18
maxxor032.aig,80.65,timeout,644.87,timeout
a643test0044.aig,0.04,0.03,0.04,0.0
convert-jpg2gif-query-1598.aig,0.45,0.56,47.43,0.41
innfeed_innfeed_vc37242.aig,0.76,1.02,44.66,0.94
b26test0001.aig,0.05,0.06,0.02,0.0
bin_libmsrpc_vc1225404.aig,82.93,2.84,113.93,3.89
texas.PI_main^05.E.aig,0.07,0.09,0.06,0.34
bin_libsmbsharemodes_vc6207.aig,32.67,1.92,122.72,4.32
ken.flash^09.C.aig,0.59,0.07,0.14,0.04
6s384rb024.aig,0.92,0.37,0.35,3.39
convert-jpg2gif-query-1475.aig,0.52,0.41,34.5,0.43
bin_libsmbsharemodes_vc6172.aig,21.02,0.68,80.69,1.21
cvs_vc105421.aig,0.45,0.82,23.69,0.57
bin_libmsrpc_vc1225901.aig,2.34,1.68,86.76,2.2
beemmsmie2b1.aig,0.07,0.13,0.45,0.03
nnrpd_nnrpd_vc20433.aig,1.21,0.95,32.02,0.96
convert-jpg2gif-query-1212.aig,0.56,0.07,0.08,0.0
convert-jpg2gif-query-1352.aig,0.07,0.04,0.08,0.0
bin_libsmbsharemodes_vc6074.aig,1.09,0.99,47.8,0.58
a324test0010.aig,0.04,0.03,0.03,0.0
convert-jpg2gif-query-2138.aig,0.13,0.06,0.1,0.0
ext_con_016_001_1024.aig,0.08,0.06,0.11,0.05
bin_libmsrpc_vc1225335.aig,1.95,5.39,78.61,11.31
beemandrsn2b1.aig,37.44,15.33,62.29,107.98
ext_con_016_004_1024.aig,109.26,45.14,timeout,timeout
bin_libmsrpc_vc1225389.aig,2.09,2.08,107.26,1.59
convert-jpg2gif-query-1232.aig,0.11,0.05,0.08,0.0
lfsr_002_063_096.aig,16.65,11.47,138.29,35.49
bin_libsmbsharemodes_vc6246.aig,1.7,1.54,87.47,3.76
bin_eventlogadm_vc331206.aig,3.62,2.2,42.1,19.17
bin_libmsrpc_vc1228446.aig,31.76,1.32,89.26,2.29
bin_libmsrpc_vc1225268.aig,0.96,1.0,110.64,2.13
bin_libsmbsharemodes_vc4325.aig,2.57,3.95,225.93,10.32
a114test0001.aig,0.02,0.04,0.04,0.0
beemprdcell6b1.aig,0.09,0.06,0.07,0.01
beemfish6f1.aig,16.23,10.9,69.89,56.1
a12test0001.aig,0.03,0.04,0.03,0.0
bin_eventlogadm_vc331196.aig,5.56,2.18,42.61,7.9
smulov2bw160.aig,580.93,timeout,71.18,15.31
ext_con_020_002_1024.aig,3.84,4.92,90.93,23.41
beemcoll2b1.aig,0.39,0.45,2.99,1.32
beemadd4f1.aig,failed,10.69,3.49,6.1
beempgsol3f1.aig,failed,timeout,71.34,timeout
convert-jpg2gif-query-1657.aig,0.04,0.05,0.1,0.0
beemldelec6b1.aig,failed,382.18,timeout,timeout
bin_libsmbclient_vc1225197.aig,2.3,0.95,112.38,2.49
bin_eventlogadm_vc331204.aig,4.54,13.75,44.42,12.74
bin_libsmbsharemodes_vc5728.aig,0.88,0.83,50.1,1.67
nusmv.tcas^5.B.aig,failed,10.72,0.98,14.45
beembrptwo6b1.aig,failed,19.83,70.32,74.92
commute16.sf.aig,0.08,0.06,0.1,0.0
bin_libsmbsharemodes_vc7677.aig,1.99,2.86,58.87,2.97
beemexit1f1.aig,105.9,28.41,7.36,287.24
lfsr_004_015_048.aig,38.91,30.43,774.13,149.85
ext_con_012_001_0032.aig,0.04,0.05,0.12,0.02
bin_eventlogadm_vc331068.aig,0.76,1.03,20.5,0.63
eijks1238.aig,0.37,0.09,0.51,0.08
bin_libsmbsharemodes_vc7733.aig,1.94,3.15,143.75,2.6
bin_libmsrpc_vc1225313.aig,1.27,1.05,105.67,3.6
bin_eventlogadm_vc331247.aig,3.92,2.84,56.26,2.96
texas.parsesys^4.E.aig,0.11,0.06,0.05,0.1
ext_con_032_008_0032.aig,1.23,0.57,1.44,0.96
ext_con_016_002_0032.aig,0.09,0.13,0.4,0.17
cvs_vc105319.aig,0.5,0.77,22.67,0.77
mccarthy91.phx.aig,70.08,52.06,51.7,37.71
bin_libsmbclient_vc1225750.aig,0.9,1.51,67.23,2.55
bin_libsmbclient_vc1225713.aig,1.13,1.34,44.47,1.43
bin_eventlogadm_vc330973.aig,0.55,0.46,15.46,0.24
convert-jpg2gif-query-1622.aig,0.08,0.07,0.07,0.0
6s310r.aig,failed,timeout,timeout,516.73
lfsr_008_143_016.aig,848.97,128.25,2139.52,635.88
lfsr_008_063_080.aig,1620.06,207.11,timeout,839.06
bin_libsmbsharemodes_vc5738.aig,0.54,0.44,34.47,0.51
lfsr_008_111_064.aig,1510.39,438.26,timeout,790.28
bin_eventlogadm_vc331009.aig,0.54,0.51,16.23,0.25
convert-jpg2gif-query-1243.aig,0.05,0.05,0.08,0.0
bin_eventlogadm_vc351401.aig,452.93,9.0,45.31,17.52
